category,size,sample,compile_time_sec,max_rss_kb,exit_code
clustered,10,0,0.92,145048,0
clustered,10,1,0.93,147168,0
clustered,10,2,0.91,145108,0
clustered,10,3,0.91,145000,0
clustered,10,4,0.88,147144,0
clustered,10,5,0.86,145048,0
clustered,10,6,0.86,145024,0
clustered,10,7,0.90,147168,0
clustered,10,8,0.92,147088,0
clustered,10,9,0.95,147076,0
clustered,12,0,1.81,252332,0
clustered,12,1,1.76,248036,0
clustered,12,2,1.73,248104,0
clustered,12,3,1.75,252324,0
clustered,12,4,1.83,252272,0
clustered,12,5,1.74,248128,0
clustered,12,6,1.76,245936,0
clustered,12,7,1.75,252284,0
clustered,12,8,1.72,252260,0
clustered,12,9,1.90,256544,0
clustered,14,0,0,0,1
clustered,14,1,0,0,1
clustered,14,2,0,0,1
clustered,14,3,0,0,1
clustered,14,4,0,0,1
clustered,14,5,0,0,1
clustered,14,6,0,0,1
clustered,14,7,0,0,1
clustered,14,8,0,0,1
clustered,14,9,0,0,1
clustered,16,0,0,0,1
clustered,16,1,0,0,1
clustered,16,2,0,0,1
clustered,16,3,0,0,1
clustered,16,4,0,0,1
clustered,16,5,0,0,1
clustered,16,6,0,0,1
clustered,16,7,0,0,1
clustered,16,8,0,0,1
clustered,16,9,0,0,1
clustered,2,0,0.04,39908,0
clustered,2,1,0.03,39908,0
clustered,2,2,0.03,39928,0
clustered,2,3,0.03,39960,0
clustered,2,4,0.03,39876,0
clustered,2,5,0.03,39916,0
clustered,2,6,0.03,39912,0
clustered,2,7,0.03,39888,0
clustered,2,8,0.03,39908,0
clustered,2,9,0.03,39900,0
clustered,4,0,0.06,44120,0
clustered,4,1,0.06,46140,0
clustered,4,2,0.06,44144,0
clustered,4,3,0.06,44140,0
clustered,4,4,0.06,44144,0
clustered,4,5,0.06,44108,0
clustered,4,6,0.06,44112,0
clustered,4,7,0.06,46192,0
clustered,4,8,0.06,44040,0
clustered,4,9,0.06,44080,0
clustered,6,0,0.16,58876,0
clustered,6,1,0.15,56756,0
