category,size,sample,compile_time_sec,max_rss_kb,exit_code
clustered,10,0,0.97,140040,0
clustered,10,1,0.98,143036,0
clustered,10,2,0.93,140236,0
clustered,10,3,0.96,140248,0
clustered,10,4,0.99,142836,0
clustered,10,5,1.03,139980,0
clustered,10,6,1.07,140132,0
clustered,10,7,1.17,142608,0
clustered,10,8,0.98,142888,0
clustered,10,9,0.96,142808,0
clustered,12,0,1.96,246944,0
clustered,12,1,1.87,242504,0
clustered,12,2,1.83,242760,0
clustered,12,3,1.90,246996,0
clustered,12,4,1.88,246864,0
clustered,12,5,2.21,242296,0
clustered,12,6,1.82,242344,0
clustered,12,7,1.90,246704,0
clustered,12,8,1.94,247180,0
clustered,12,9,2.01,251184,0
clustered,14,0,7.26,834732,1
clustered,14,1,6.95,834784,1
clustered,14,2,6.85,834756,1
clustered,14,3,6.91,834588,1
clustered,14,4,6.92,834836,1
clustered,14,5,7.23,834692,1
clustered,14,6,6.98,835016,1
clustered,14,7,6.94,834824,1
clustered,14,8,7.01,834748,1
clustered,14,9,7.15,834644,1
clustered,16,0,7.47,840324,1
clustered,16,1,6.92,840508,1
clustered,16,2,7.02,840468,1
clustered,16,3,6.97,840288,1
clustered,16,4,7.12,840264,1
clustered,16,5,7.17,840272,1
clustered,16,6,7.19,840352,1
clustered,16,7,7.83,840260,1
clustered,16,8,7.55,840352,1
clustered,16,9,6.95,840484,1
clustered,18,0,7.14,839688,1
clustered,18,1,7.34,839628,1
clustered,18,2,7.24,839688,1
clustered,18,3,7.42,839752,1
clustered,18,4,7.57,839612,1
clustered,18,5,7.53,839556,1
clustered,18,6,7.24,839624,1
clustered,18,7,7.08,839740,1
clustered,18,8,7.03,839700,1
clustered,18,9,7.07,839588,1
clustered,20,0,7.09,834308,1
clustered,20,1,7.08,834364,1
clustered,20,2,7.04,834368,1
clustered,20,3,7.02,834364,1
clustered,20,4,7.18,834188,1
clustered,20,5,7.08,834304,1
clustered,20,6,7.03,834080,1
clustered,20,7,7.14,834312,1
clustered,20,8,7.13,834400,1
clustered,20,9,7.10,834316,1
clustered,2,0,0.05,36176,0
clustered,2,1,0.04,36072,0
clustered,2,2,0.05,36184,0
clustered,2,3,0.05,36168,0
clustered,2,4,0.05,36112,0
clustered,2,5,0.05,36164,0
clustered,2,6,0.05,36124,0
clustered,2,7,0.05,36080,0
clustered,2,8,0.05,36136,0
clustered,2,9,0.05,36164,0
clustered,4,0,0.08,40292,0
clustered,4,1,0.08,40788,0
clustered,4,2,0.08,40400,0
clustered,4,3,0.08,39940,0
clustered,4,4,0.08,39812,0
clustered,4,5,0.08,40216,0
clustered,4,6,0.08,40392,0
clustered,4,7,0.08,40756,0
clustered,4,8,0.08,40348,0
clustered,4,9,0.08,40008,0
clustered,6,0,0.19,53840,0
clustered,6,1,0.18,52176,0
clustered,6,2,0.17,51340,0
clustered,6,3,0.18,52172,0
clustered,6,4,0.18,53064,0
clustered,6,5,0.18,52168,0
clustered,6,6,0.18,52184,0
clustered,6,7,0.17,52112,0
clustered,6,8,0.18,52176,0
clustered,6,9,0.18,52176,0
clustered,8,0,0.44,83524,0
clustered,8,1,0.42,80256,0
clustered,8,2,0.44,83612,0
clustered,8,3,0.46,85172,0
clustered,8,4,0.44,83664,0
clustered,8,5,0.46,85076,0
clustered,8,6,0.43,81936,0
clustered,8,7,0.44,83604,0
clustered,8,8,0.43,82064,0
clustered,8,9,0.41,78792,0
companion,10,0,0.52,92244,0
companion,10,1,0.51,92380,0
companion,10,2,0.52,93324,0
companion,10,3,0.50,91660,0
companion,10,4,0.52,93044,0
companion,10,5,0.52,93980,0
companion,10,6,0.53,93264,0
companion,10,7,0.52,92400,0
companion,10,8,0.52,92540,0
companion,10,9,0.52,93168,0
companion,12,0,0.98,148668,0
companion,12,1,1.00,150916,0
companion,12,2,1.00,151204,0
companion,12,3,0.99,149516,0
companion,12,4,0.98,147380,0
companion,12,5,1.00,148684,0
companion,12,6,0.98,149168,0
companion,12,7,0.98,147868,0
companion,12,8,0.97,147624,0
companion,12,9,1.07,146884,0
companion,14,0,1.81,244560,0
companion,14,1,1.75,240204,0
companion,14,2,1.74,238940,0
companion,14,3,1.79,239204,0
companion,14,4,1.81,245952,0
companion,14,5,1.78,239376,0
companion,14,6,1.82,240108,0
companion,14,7,2.05,238932,0
companion,14,8,2.13,240600,0
companion,14,9,2.24,238948,0
companion,16,0,7.65,840212,1
companion,16,1,6.98,840216,1
companion,16,2,7.27,840000,1
companion,16,3,7.97,839868,1
companion,16,4,6.93,840268,1
companion,16,5,7.01,840116,1
companion,16,6,6.95,840068,1
companion,16,7,6.88,840200,1
companion,16,8,6.94,840064,1
companion,16,9,7.24,840252,1
companion,18,0,7.83,839176,1
companion,18,1,7.80,839020,1
companion,18,2,7.15,839236,1
companion,18,3,7.35,839132,1
companion,18,4,7.44,839248,1
companion,18,5,7.55,839172,1
companion,18,6,7.25,839484,1
companion,18,7,6.92,839200,1
companion,18,8,6.93,839248,1
companion,18,9,6.92,839172,1
companion,20,0,6.96,833904,1
companion,20,1,6.98,834024,1
companion,20,2,7.06,833848,1
companion,20,3,7.00,832916,1
companion,20,4,7.87,833720,1
companion,20,5,7.41,833980,1
companion,20,6,7.38,833972,1
companion,20,7,6.96,833748,1
companion,20,8,7.38,833728,1
companion,20,9,7.01,834072,1
companion,2,0,0.05,35824,0
companion,2,1,0.05,35920,0
companion,2,2,0.05,35912,0
companion,2,3,0.04,35740,0
companion,2,4,0.05,35916,0
companion,2,5,0.04,35880,0
companion,2,6,0.05,35892,0
companion,2,7,0.04,35920,0
companion,2,8,0.05,35892,0
companion,2,9,0.05,35920,0
companion,4,0,0.07,39436,0
companion,4,1,0.07,39464,0
companion,4,2,0.08,39504,0
companion,4,3,0.07,38960,0
companion,4,4,0.07,38988,0
companion,4,5,0.07,39108,0
companion,4,6,0.07,38996,0
companion,4,7,0.07,38844,0
companion,4,8,0.07,39336,0
companion,4,9,0.07,39092,0
companion,6,0,0.13,46284,0
companion,6,1,0.13,46696,0
companion,6,2,0.13,46492,0
companion,6,3,0.13,45904,0
companion,6,4,0.13,46404,0
companion,6,5,0.12,45304,0
companion,6,6,0.13,46028,0
companion,6,7,0.13,46440,0
companion,6,8,0.12,45508,0
companion,6,9,0.12,45584,0
companion,8,0,0.25,61032,0
companion,8,1,0.27,61456,0
companion,8,2,0.28,61388,0
companion,8,3,0.29,62424,0
companion,8,4,0.27,62024,0
companion,8,5,0.32,61712,0
companion,8,6,0.33,61372,0
companion,8,7,0.26,61008,0
companion,8,8,0.27,61116,0
companion,8,9,0.25,61352,0
defective,10,0,0.61,103088,0
defective,10,1,0.57,96596,0
defective,10,2,0.62,98664,0
defective,10,3,0.58,99024,0
defective,10,4,0.58,97128,0
defective,10,5,0.71,110192,0
defective,10,6,0.61,102300,0
defective,10,7,0.63,106076,0
defective,10,8,0.63,100392,0
defective,10,9,0.62,100264,0
defective,12,0,1.10,154892,0
defective,12,1,1.04,148296,0
defective,12,2,1.12,162268,0
defective,12,3,1.07,157964,0
defective,12,4,1.12,163340,0
defective,12,5,1.02,152592,0
defective,12,6,1.04,154964,0
defective,12,7,1.15,165016,0
defective,12,8,1.25,174512,0
defective,12,9,1.01,150092,0
defective,14,0,1.82,245608,0
defective,14,1,1.86,249392,0
defective,14,2,1.99,262996,0
defective,14,3,1.79,243248,0
defective,14,4,1.78,239316,0
defective,14,5,1.94,256624,0
defective,14,6,2.02,267728,0
defective,14,7,2.02,266524,0
defective,14,8,1.82,246096,0
defective,14,9,1.88,252380,0
defective,16,0,7.00,840084,1
defective,16,1,7.06,840368,1
defective,16,2,7.05,840256,1
defective,16,3,7.16,840332,1
defective,16,4,7.03,840416,1
defective,16,5,6.98,840312,1
defective,16,6,7.02,840508,1
defective,16,7,7.02,840324,1
defective,16,8,6.95,840108,1
defective,16,9,7.06,840276,1
defective,18,0,7.04,839616,1
defective,18,1,7.16,839456,1
defective,18,2,7.19,839520,1
defective,18,3,7.21,839432,1
defective,18,4,7.27,839560,1
defective,18,5,7.21,839600,1
defective,18,6,7.17,839628,1
defective,18,7,7.23,839496,1
defective,18,8,7.27,839604,1
defective,18,9,7.19,839260,1
defective,20,0,7.46,834384,1
defective,20,1,7.22,834244,1
defective,20,2,7.26,834236,1
defective,20,3,7.14,834340,1
defective,20,4,7.11,834080,1
defective,20,5,7.25,834364,1
defective,20,6,7.10,834380,1
defective,20,7,7.10,834356,1
defective,20,8,7.17,834080,1
defective,20,9,7.06,834336,1
defective,2,0,0.04,35892,0
defective,2,1,0.05,36136,0
defective,2,2,0.05,35972,0
defective,2,3,0.05,36048,0
defective,2,4,0.05,36184,0
defective,2,5,0.04,35908,0
defective,2,6,0.05,35880,0
defective,2,7,0.05,36124,0
defective,2,8,0.05,35980,0
defective,2,9,0.04,36172,0
defective,4,0,0.09,41676,0
defective,4,1,0.11,44236,0
defective,4,2,0.09,42032,0
defective,4,3,0.09,41904,0
defective,4,4,0.09,42128,0
defective,4,5,0.09,41904,0
defective,4,6,0.12,45324,0
defective,4,7,0.09,41432,0
defective,4,8,0.10,42188,0
defective,4,9,0.09,41936,0
defective,6,0,0.17,51272,0
defective,6,1,0.19,54376,0
defective,6,2,0.15,48040,0
defective,6,3,0.18,51372,0
defective,6,4,0.15,48816,0
defective,6,5,0.16,48612,0
defective,6,6,0.15,48656,0
defective,6,7,0.20,54616,0
