# family: gcc
# compiler: c++ (Alpine 15.2.0) 15.2.0
# os: Alpine Linux
category,size,sample,compile_time_sec,max_rss_kb,exit_code
clustered,10,0,0.52,93840,0
clustered,10,1,0.53,95392,0
clustered,10,2,0.51,93820,0
clustered,10,3,0.51,93876,0
clustered,10,4,0.52,95412,0
clustered,10,5,0.52,93708,0
clustered,10,6,0.52,93852,0
clustered,10,7,0.53,95272,0
clustered,10,8,0.53,95276,0
clustered,10,9,0.53,95248,0
clustered,12,0,1.00,151848,0
clustered,12,1,0.98,149320,0
clustered,12,2,0.98,149448,0
clustered,12,3,0.99,151704,0
clustered,12,4,1.00,151604,0
clustered,12,5,0.98,149280,0
clustered,12,6,0.97,149268,0
clustered,12,7,1.01,151712,0
clustered,12,8,1.01,151844,0
clustered,12,9,1.02,154188,0
clustered,14,0,1.72,238748,0
clustered,14,1,1.68,234900,0
clustered,14,2,1.77,246092,0
clustered,14,3,1.75,242396,0
clustered,14,4,1.72,238512,0
clustered,14,5,1.72,238808,0
clustered,14,6,1.66,231176,0
clustered,14,7,1.74,242300,0
clustered,14,8,1.74,242520,0
clustered,14,9,1.76,242500,0
clustered,16,0,3.03,389288,0
clustered,16,1,2.97,384272,0
clustered,16,2,3.00,378836,0
clustered,16,3,2.95,373656,0
clustered,16,4,2.92,378868,0
clustered,16,5,2.84,373496,0
clustered,16,6,2.95,384076,0
clustered,16,7,2.95,384208,0
clustered,16,8,2.89,379088,0
clustered,16,9,2.87,373848,0
clustered,18,0,4.67,584624,0
clustered,18,1,4.63,584616,0
clustered,18,2,4.52,577356,0
clustered,18,3,4.50,563636,0
clustered,18,4,4.47,562792,0
clustered,18,5,4.53,577560,0
clustered,18,6,4.55,577484,0
clustered,18,7,4.52,577576,0
clustered,18,8,4.63,577472,0
clustered,18,9,4.57,577424,0
clustered,20,0,6.90,849240,0
clustered,20,1,6.89,848976,0
clustered,20,2,6.88,849072,0
clustered,20,3,6.85,848560,0
clustered,20,4,6.95,858804,0
clustered,20,5,6.87,849232,0
clustered,20,6,6.97,849088,0
clustered,20,7,7.09,868300,0
clustered,20,8,6.88,848820,0
clustered,20,9,6.91,848968,0
clustered,2,0,0.05,35984,0
clustered,2,1,0.05,35952,0
clustered,2,2,0.05,35920,0
clustered,2,3,0.06,36048,0
clustered,2,4,0.06,36108,0
clustered,2,5,0.07,36012,0
clustered,2,6,0.06,35908,0
clustered,2,7,0.06,36028,0
clustered,2,8,0.05,35988,0
clustered,2,9,0.05,35928,0
clustered,4,0,0.07,38796,0
clustered,4,1,0.07,38848,0
clustered,4,2,0.07,38740,0
clustered,4,3,0.07,38488,0
clustered,4,4,0.06,38436,0
clustered,4,5,0.07,38668,0
clustered,4,6,0.07,38708,0
clustered,4,7,0.07,38876,0
clustered,4,8,0.07,38704,0
clustered,4,9,0.07,38500,0
clustered,6,0,0.13,46420,0
clustered,6,1,0.12,45460,0
clustered,6,2,0.12,45072,0
clustered,6,3,0.13,45464,0
clustered,6,4,0.13,45980,0
clustered,6,5,0.12,45464,0
clustered,6,6,0.12,45492,0
clustered,6,7,0.12,45524,0
clustered,6,8,0.12,45412,0
clustered,6,9,0.12,45436,0
clustered,8,0,0.26,62924,0
clustered,8,1,0.26,61024,0
clustered,8,2,0.27,62808,0
clustered,8,3,0.27,63768,0
